goNorth
u_L,u_R,heading,
32.0423395466,14.3661283627,-2.81693581864,
32.0423395466,14.3661283627,-2.81693581864,
32.0423395466,14.3661283627,-2.81693581864,
32.0423395466,14.3661283627,-2.81693581864,
32.3498700287,14.120103977,-2.93994801149,
32.3498700287,14.120103977,-2.93994801149,
32.3498700287,14.120103977,-2.93994801149,
32.3498700287,14.120103977,-2.93994801149,
32.3498700287,14.120103977,-2.93994801149,
32.3159180999,14.1472655201,-2.92636723997,
32.3159180999,14.1472655201,-2.92636723997,
32.3159180999,14.1472655201,-2.92636723997,
32.3159180999,14.1472655201,-2.92636723997,
32.3159180999,14.1472655201,-2.92636723997,
32.3159180999,14.1472655201,-2.92636723997,
32.330223819,14.1358209448,-2.9320895276,
32.330223819,14.1358209448,-2.9320895276,
32.330223819,14.1358209448,-2.9320895276,
32.330223819,14.1358209448,-2.9320895276,
32.330223819,14.1358209448,-2.9320895276,
32.39641258,14.082869936,-2.95856503199,
32.39641258,14.082869936,-2.95856503199,
32.39641258,14.082869936,-2.95856503199,
32.39641258,14.082869936,-2.95856503199,
32.1597498782,14.2722000975,-2.86389995127,
32.1155084673,14.3075932262,-2.84620338692,
32.1155084673,14.3075932262,-2.84620338692,
32.1155084673,14.3075932262,-2.84620338692,
32.1155084673,14.3075932262,-2.84620338692,
32.287554177,14.1699566584,-2.9150216708,
32.287554177,14.1699566584,-2.9150216708,
32.287554177,14.1699566584,-2.9150216708,
32.287554177,14.1699566584,-2.9150216708,
32.287554177,14.1699566584,-2.9150216708,
32.287554177,14.1699566584,-2.9150216708,
32.2870018951,14.1703984839,-2.91480075804,
32.2870018951,14.1703984839,-2.91480075804,
32.2870018951,14.1703984839,-2.91480075804,
32.2870018951,14.1703984839,-2.91480075804,
32.2870018951,14.1703984839,-2.91480075804,
32.2870018951,14.1703984839,-2.91480075804,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.1887810465,14.2489751628,-2.87551241859,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.3709240966,14.1032607227,-2.94836963864,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.495152174,14.0038782608,-2.9980608696,
32.3412037022,14.1270370383,-2.93648148087,
32.3169244358,14.1464604513,-2.92676977433,
32.3169244358,14.1464604513,-2.92676977433,
