test_GPS
t,lat,long,speed,heading,
140728.086,-5359492.97961,335238.063168,0.0,0.0,
140729.086,-5359492.97961,335238.063168,0.0,0.0,
140730.086,-5359492.97961,335238.063168,0.0,0.0,
140731.086,-5359492.97961,335238.063168,0.0,0.0,
140732.086,-5359492.97961,335238.063168,0.0,0.0,
140733.086,-5359492.97961,335238.063168,0.0,0.0,
140734.086,-5359492.97961,335238.063168,0.0,0.0,
140735.086,-5359492.97961,335238.063168,0.0,0.0,
140736.086,-5359492.97961,335238.063168,0.0,0.0,
140737.086,-5359492.97961,335238.063168,0.0,0.0,
140738.086,-5359492.97961,335238.063168,0.0,0.0,
140739.086,-5359492.97961,335238.063168,0.0,0.0,
140740.086,-5359492.97961,335238.063168,0.0,0.0,
140741.086,-5359492.97961,335238.063168,0.0,0.0,
140742.086,-5359492.97961,335238.063168,0.0,0.0,
140743.086,-5359492.97961,335238.063168,0.0,0.0,
140744.086,-5359492.97961,335238.063168,0.0,0.0,
140745.086,-5359492.97961,335238.063168,0.0,0.0,
140746.086,-5359492.97961,335238.063168,0.0,0.0,
140747.086,-5359492.97961,335238.063168,0.0,0.0,
140748.086,-5359492.97961,335238.063168,0.0,0.0,
140749.086,-5359492.97961,335238.063168,0.0,0.0,
140750.086,-5359492.97961,335238.063168,0.0,0.0,
140751.086,-5359492.97961,335238.063168,0.0,0.0,
140752.086,-5359492.97961,335238.063168,0.0,0.0,
140753.086,-5359492.97961,335238.063168,0.0,0.0,
140754.086,-5359492.97961,335238.063168,0.0,0.0,
140755.086,-5359492.97961,335238.063168,0.0,0.0,
140756.086,-5359492.97961,335238.063168,0.0,0.0,
140757.086,-5359492.97961,335238.063168,0.0,0.0,
140758.086,-5359492.97961,335238.063168,0.0,0.0,
140759.086,-5359492.97961,335238.063168,0.0,0.0,
140800.086,-5359492.97961,335238.063168,0.0,0.0,
140801.086,-5359492.97961,335238.063168,0.0,0.0,
140802.086,-5359492.97961,335238.063168,0.0,0.0,
140803.086,-5359492.97961,335238.063168,0.0,0.0,
140804.086,-5359492.97961,335238.063168,0.0,0.0,
140805.086,-5359492.97961,335238.063168,0.0,0.0,
140806.085,-5359492.97961,335238.063168,0.0,0.0,
140807.085,-5359492.97961,335238.063168,0.0,0.0,
140808.085,-5359492.97961,335238.063168,0.0,0.0,
140809.085,-5359492.97961,335238.063168,0.0,0.0,
140810.085,-5359492.97961,335238.063168,0.0,0.0,
140811.085,-5359492.97961,335238.063168,0.0,0.0,
140812.085,-5359492.97961,335238.063168,0.0,0.0,
140813.085,-5359492.97961,335238.063168,0.0,0.0,
140814.085,-5359492.97961,335238.063168,0.0,0.0,
140815.085,-5359492.97961,335238.063168,0.0,0.0,
140816.085,-5359492.97961,335238.063168,0.0,0.0,
140817.085,-5359492.97961,335238.063168,0.0,0.0,
140818.085,-5359492.97961,335238.063168,0.0,0.0,
140819.085,-5359492.97961,335238.063168,0.0,0.0,
140820.085,-5359492.97961,335238.063168,0.0,0.0,
140821.085,-5359492.97961,335238.063168,0.0,0.0,
140822.085,-5359492.97961,335238.063168,0.0,0.0,
140823.085,-5359492.97961,335238.063168,0.0,0.0,
140824.085,-5359492.97961,335238.063168,0.0,0.0,
140825.085,-5359492.97961,335238.063168,0.0,0.0,
140826.085,-5359492.97961,335238.063168,0.0,0.0,
140827.085,-5359492.97961,335238.063168,0.0,0.0,
140828.085,-5359492.97961,335238.063168,0.0,0.0,
140829.085,-5359492.97961,335238.063168,0.0,0.0,
140830.083,-5359492.97961,335238.063168,0.0,0.0,
140831.083,-5359492.97961,335238.063168,0.0,0.0,
140832.083,-5359492.97961,335238.063168,0.0,0.0,
140833.083,-5359492.97961,335238.063168,0.0,0.0,
140834.083,-5359492.97961,335238.063168,0.0,0.0,
140835.083,-5359492.97961,335238.063168,0.0,0.0,
140836.083,-5359492.97961,335238.063168,0.0,0.0,
140836.291,-5359492.97961,335238.063168,0.0,0.0,
140837.291,-5359492.97961,335238.063168,0.0,0.0,
140838.291,-5359492.97961,335238.063168,0.0,0.0,
140839.291,-5359492.97961,335238.063168,0.0,0.0,
140840.291,-5359492.97961,335238.063168,0.0,0.0,
140841.291,-5359492.97961,335238.063168,0.0,0.0,
140842.091,-5359492.97961,335238.063168,0.0,0.0,
140843.091,-5359492.97961,335238.063168,0.0,0.0,
140844.091,-5359492.97961,335238.063168,0.0,0.0,
140845.091,-5359492.97961,335238.063168,0.0,0.0,
140846.091,-5359492.97961,335238.063168,0.0,0.0,
140847.091,-5359492.97961,335238.063168,0.0,0.0,
140848.091,-5359492.97961,335238.063168,0.0,0.0,
140849.091,-5359492.97961,335238.063168,0.0,0.0,
140850.091,-5359492.97961,335238.063168,0.0,0.0,
140851.091,-5359492.97961,335238.063168,0.0,0.0,
140852.091,-5359492.97961,335238.063168,0.0,0.0,
140853.091,-5359492.97961,335238.063168,0.0,0.0,
140854.08,-5359492.97961,335238.063168,0.29298,0.0,
140854.3,-5359492.97961,335238.063168,0.13878,0.0,
140856.0,-5359492.97961,335238.063168,0.17476,0.0,
140857.0,-24.7991854167,114.160124689,0.27242,0.0,
140858.0,-26.2797337186,113.789474933,0.19018,0.0,
140859.0,-26.2797338394,114.345449566,0.06682,0.0,
140900.0,-27.390145088,114.160124689,0.03084,0.0,
140900.21,-27.7602821836,114.160124689,0.03084,0.0,
140902.0,-28.1304192354,113.974799811,0.06168,0.0,
140903.0,-28.315487828,114.160124689,0.06682,0.0,
140904.0,-28.315487828,114.160124689,0.13364,0.0,
140905.0,-27.9453508159,114.530774444,0.1028,0.0,
140906.0,-27.9453509871,115.272073955,0.09252,0.0,
140906.202,-27.5752139311,115.457398833,0.09766,0.0,
140908.0,-27.3901454655,115.828048588,0.07196,0.0,
140909.0,-26.8349397738,115.64272371,0.11822,0.0,
140910.0,-26.2797341613,115.828048588,0.13878,0.0,
140911.0,-25.7245286295,116.384023221,0.11308,0.0,
140912.0,-25.5394602345,117.125322732,0.1028,0.0,
140912.204,-25.1693232461,117.681297366,0.12336,0.0,
140914.0,-24.9842548074,118.237271999,0.11308,0.0,
140915.0,-24.9842548457,118.422596876,0.09252,0.0,
140916.0,-24.6141178871,119.163896387,0.19018,0.0,
140917.0,-24.6141179248,119.349221265,0.16962,0.0,
140918.0,-24.058912258,119.349221265,0.16962,0.0,
140918.214,-23.8738436653,119.163896387,0.1799,0.0,
